game,tick,actor_id,name,strategy,n_props,port_wealth,cash,final_score,risk_cost
5,12,player,You,player,4,302777.0,1070500.0,846015.0,0.0
5,12,ai1,Ms Di Vidend,yield,4,243488.0,2003448.0,1408482.0,0.0
5,12,ai2,Mr Hugh Price,capital,0,0,2331023.0,1300510.0,0.0
5,13,player,You,player,4,300973.0,1097788.0,846015.0,0.0
5,13,ai1,Ms Di Vidend,yield,4,235626.0,2048240.0,1408482.0,0.0
5,13,ai2,Mr Hugh Price,capital,0,0,2379101.0,1300510.0,0.0
5,14,player,You,player,5,318430.0,1117914.0,846015.0,0.0
5,14,ai1,Ms Di Vidend,yield,5,250507.0,2084044.0,1408482.0,0.0
5,14,ai2,Mr Hugh Price,capital,0,0,2432630.0,1300510.0,0.0
5,15,player,You,player,5,309802.0,1164505.0,846015.0,0.0
5,15,ai1,Ms Di Vidend,yield,5,232126.0,2139543.0,1408482.0,0.0
5,15,ai2,Mr Hugh Price,capital,0,0,2491926.0,1300510.0,0.0
5,16,player,You,player,6,341622.0,1154038.0,846015.0,0.0
5,16,ai1,Ms Di Vidend,yield,6,280750.0,2157862.0,1408482.0,0.0
5,16,ai2,Mr Hugh Price,capital,0,0,2552666.0,1300510.0,0.0
5,17,player,You,player,6,353161.0,1200559.0,846015.0,0.0
5,17,ai1,Ms Di Vidend,yield,6,281230.0,2222068.0,1408482.0,0.0
5,17,ai2,Mr Hugh Price,capital,0,0,2610101.0,1300510.0,0.0
5,18,player,You,player,6,359015.0,1238229.0,846015.0,0.0
5,18,ai1,Ms Di Vidend,yield,7,392821.0,2180174.0,1408482.0,0.0
5,18,ai2,Mr Hugh Price,capital,0,0,2668829.0,1300510.0,0.0
5,19,player,You,player,7,457530.0,1224952.0,846015.0,0.0
5,19,ai1,Ms Di Vidend,yield,7,483764.0,2261791.0,1408482.0,0.0
5,19,ai2,Mr Hugh Price,capital,0,0,2728877.0,1300510.0,0.0
5,20,player,You,player,7,512994.0,1257021.0,846015.0,0.0
5,20,ai1,Ms Di Vidend,yield,8,716447.0,2191035.0,1408482.0,0.0
5,20,ai2,Mr Hugh Price,capital,0,0,2800510.0,1300510.0,0.0
6,1,player,You,player,3,821350.0,575931.0,1186072.0,16470.0
